Joe higashi EX3,Gh-golden silver,1,mwc,A,S,m,4.6:1,0,2,2,13-03-2016
Senna,Nagaoka shiho,0,mwc,A,A,m,1.5:1,0,2,2,13-03-2016
Dreamform sula,Cockle,0,mwc,A,S,m,14.2:1,0,2,2,13-03-2016
Epyon,Pepe-h,1,mwc,A,A,m,1:3.9,0,2,2,13-03-2016
Nico robin,Yuiran,1,mwc,A,B,m,1:3.5,0,2,2,13-03-2016
Shadow dio,Rio hinayama,0,mwc,A,A,m,6.6:1,0,2,2,13-03-2016
Shanghai doll,F.o.e._meso,1,mwc,t,A,m,1.1:1,0,2,2,13-03-2016
Freedom nitori EX3,Luke skywalker EX3,1,mwc,A,A,m,1:10.5,0,2,2,13-03-2016
Kakarotto [goku] ssj7,Megaman EX2,0,mwc,A,X,m,1.5:1,0,2,2,13-03-2016
Ex adamas,A-utsuho,1,mwc,A,B,m,1:10.6,0,2,2,13-03-2016
Magma-dragoon,Corona,1,mwc,A,S,m,1:1.1,0,2,2,13-03-2016
Z-akuma,Pikopiko EX3,1,mwc,A,B,m,1:1.1,0,2,2,13-03-2016
Lavia,Stickykeys,0,mwc,A,S,m,1:4.5,0,2,2,13-03-2016
Seikimatu guile,Crazy mukuro,0,mwc,f,S,m,7.9:1,0,2,2,13-03-2016
Tetsu yatogi,Super3 goku EX3,1,mwc,A,A,m,1:11,0,2,2,13-03-2016
Kusanagi EX3,Feli,1,mwc,A,A,m,3.3:1,0,2,2,13-03-2016
Fakir,Sakuya izayoi EX3,1,mwc,A,A,m,1:2.9,0,2,2,13-03-2016
Kamen rider kaixa,Chiyo mihama EX,0,mwc,A,A,m,7.9:1,0,2,2,13-03-2016
Nests-rugal,Garnet crow,1,mwc,A,S,m,1:2.7,0,2,2,13-03-2016
M-e-reptos,Cheapest kfm!!!,1,mwc,A,X,m,2.4:1,0,2,2,13-03-2016
Vergil2,Mawile,1,mwc,f,S,m,1:4,0,2,2,13-03-2016
Zein_dael,Vega mvc2,1,mwc,A,S,m,1:1.7,0,2,2,13-03-2016
Erza scarlet,Dragon,1,mwc,A,B,m,1:2,0,2,2,13-03-2016
Chibi nazrin,Jagi bike,1,mwc,A,A,m,2.3:1,0,2,2,13-03-2016
Choi special,Zangoose EX2,1,mwc,f,B,m,1:15.5,0,2,2,13-03-2016
Kotoe,Reak.f,1,mwc,A,A,m,1:1.6,0,2,2,13-03-2016
Minoriko(ai),Rugal b. EX,1,mwc,A,S,m,1:21.5,0,2,2,13-03-2016
M. bison,Taki,1,mwc,A,B,m,3.2:1,0,2,2,13-03-2016
